,iterations,learning_rate,grow_policy,depth,bagging_temperature,border_count,subsample,min_data_in_leaf,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,700.0,0.059905113,0.56720228,5.042505312,20.0,88.45239189,0.651766686,1.617584831,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,110.6553704858404,66945.47585367542,0.9907617406297302,0.9645477451475934,183.48131471243863,121879.5589815178,0.9834774785548286,0.9354760560882546,200.72241168676615,135943.1344101803,0.9766793800932233,0.9112032157907295
1,384.0,0.2,0.967752738,1.0,15.02746933,2.818175022,0.615328997,18.85077705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,666.5894495449479,1213109.4810253337,0.7436173491246401,0.35757471379868366,670.9137387652675,1221321.7176455364,0.7447681957278883,0.3534232100437176,598.0037485407499,979536.7610605315,0.7591008154623107,0.360175747202529
2,600.761514,0.038961861,0.0,9.0,15.60858586,255.0,0.568000061,3.0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,87.66135676442165,39707.75179741594,0.9945992313989841,0.9789720019405791,179.09399820165166,115302.50951015213,0.9843104569158622,0.9389579949362572,205.78403841258486,142103.29084864297,0.9757859256330796,0.9071794592079877
3,410.5699647,0.083454661,1.358995476,3.98726046,19.34060993,88.45239189,0.805312758,13.8769984,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,130.81216364574368,83298.20347804985,0.9884838600606237,0.9558878460300121,184.07492004165255,115388.45119686083,0.9842345530980439,0.9389124967688925,206.5302109662227,143650.77787726632,0.975438653858959,0.906168655151251
4,315.1511762,0.067013049,1.571616141,2.335886521,3.42348962,255.0,0.877788924,15.16916295,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,237.13370371115678,218547.71574530224,0.9676785418932565,0.8842638846432462,227.0222018811834,183772.2141286206,0.9737782116384417,0.9027096246814404,253.32430676374761,216620.62031803673,0.9605612620905818,0.8585054364009238
5,422.0876564,0.029324605,1.681740352,5.393994174,9.959348768,139.7114687,0.842173827,11.8024711,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,149.6352233157028,104879.54012878511,0.9853858836540241,0.9444590371786155,179.762795333529,122155.5334985421,0.9831835161639272,0.9353299531288547,203.37022081467552,144726.82156620236,0.9751092967527657,0.9054657934755896
6,432.294587,0.100406186,0.834510442,6.547531309,3.08541057,224.2925949,0.896516993,2.941049579,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,89.07881201718239,46343.25512185586,0.993659776587981,0.9754580444709778,186.3715198411779,120226.49723605275,0.9835348255953739,0.9363511992561357,206.37954213674564,141706.42164646165,0.9756909788546962,0.9074386904597777
7,100.0,0.15049267,0.669430587,6.021846799,8.546087199,255.0,0.917085979,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,247.4316309588146,237877.22628473412,0.9652163002048701,0.874027573300654,251.2767491197241,232894.6022829039,0.9671752231372476,0.8767038674850379,263.0467365685283,243555.9500075657,0.9557141360646425,0.8409115309166646
8,268.992264,0.068899678,0.533579868,6.13304257,1.0,91.57327742,0.963964923,1.0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,131.48300220689677,86418.85983430872,0.9880409020012335,0.9542352428774005,184.12535383731947,121992.75267839537,0.983398473563102,0.9354161305042639,205.54470362703418,147289.69622719267,0.9748147683061665,0.9037917477121551
9,342.02702,0.06512845,0.742597583,6.126096883,3.585979668,231.6284357,0.904529871,14.0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,126.48531171540508,82243.31597292569,0.9885965771308385,0.9564464818481221,180.020617009769,119332.72359170066,0.9837792756222268,0.9368243696628871,202.3364937777578,134553.9060351463,0.9769627980523803,0.9121106467747988
10,362.7915637,0.073225999,1.994983966,6.957181847,9.720291002,66.63346794,0.746449469,5.047347562,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,134.7704432870638,99064.2830463162,0.986260459666357,0.9475386175907491,203.36019860479158,151079.1385769897,0.9790692869372251,0.9200175817402264,215.84498329039513,158749.3932641781,0.9725551045152886,0.8963063807658078
11,503.0,0.034749444,1.467117585,7.0,1.0,79.14185886,1.0,1.0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,108.8967163196159,66284.82564395502,0.9908546874969466,0.9648976050791965,186.94185426583215,121871.01991566962,0.9832365614901851,0.9354805767331473,204.349550758008,142364.01464196178,0.9752862730061074,0.9070091568641878
12,294.4952566,0.0283559,1.996337239,5.437173334,20.0,191.7100918,0.851690393,5.005037266,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,152.38926553910696,101366.47111099942,0.9858324137475758,0.9463194499480287,184.36083763276955,118984.3046899347,0.9836135164154095,0.9370088252177251,198.57677072378323,133311.07992026248,0.9770144351365979,0.9129224491715273
13,345.3170174,0.142656171,1.199369384,2.237090139,3.664581996,192.3210633,0.660641795,7.112108728,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,251.70122239932695,217610.9367120855,0.9679105605977469,0.8847599738651465,227.7492025479759,196628.59569332463,0.9723914437345613,0.8959033607769676,234.36022792048564,186057.1117252313,0.966542878523205,0.8784692344181504
14,172.0321928,0.030132491,0.87309122,6.747827563,1.0,255.0,0.882144052,17.22167395,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,143.6836853571615,92420.5663907241,0.9870790165356311,0.9510569245866699,176.84518723758558,113124.81197814971,0.9843469437935655,0.940110884186808,195.86079959934753,135435.42347768354,0.976664788142086,0.9115348478242942
15,274.9979741,0.096561109,1.378648954,4.70430365,1.0,48.04491384,1.0,3.473090776,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,142.74110220305343,99270.50096759963,0.9862570110627432,0.9474294109534485,186.13697313336363,125209.60833215837,0.9829544097691805,0.9337131032246274,203.69218065149306,137130.0015447968,0.976519048355793,0.9104279652766459
16,470.0420049,0.01,0.584852472,6.904207505,12.14461228,255.0,0.352522419,14.79045933,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,470.3666535857161,838529.4176120138,0.8289030065238178,0.5559407378117991,485.92318023823793,925899.5671693212,0.8043291505249262,0.5098218910604836,425.05657563628887,634534.1291158746,0.8504470513196956,0.5855282403117794
17,499.3954734,0.2,2.0,1.874928321,1.0,1.0,0.378251626,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,585.0773138835667,951782.35864612,0.8010842324109663,0.49596548067714885,573.5224155913869,937876.0020666098,0.7954732479071249,0.5034814774584577,542.3425323066132,813319.0342155796,0.8032561574742765,0.46874761209621774
18,381.4420838,0.040773476,2.0,6.0,1.0,151.8706193,1.0,15.29216455,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,136.22434286536043,95134.57237076227,0.9867615421096712,0.9496196709045006,180.50830089974062,122634.47724203244,0.9831476666479079,0.9350763967531992,201.7797997742771,137866.09985708367,0.9762786194239487,0.9099471527422246
19,374.7320365,0.162311556,0.452818109,8.099889243,1.0,248.3281548,0.144225696,15.99084646,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,97.31099287010814,52516.229585923276,0.9928429630536997,0.9721890279899261,198.22931838174657,132976.28417970985,0.9820119840601041,0.9296013673358874,213.32363484659186,145869.15653838214,0.9751663212377835,0.904719630953595
20,422.0876564,0.029324605,1.646537016,5.393994174,3.092832823,21.37054269,0.717442717,11.8024711,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,201.10667390767387,172516.2704287746,0.9751971464876256,0.9086407153368257,228.03410053491842,195089.64479052884,0.9729751982132884,0.8967180928170629,238.8210255805697,204918.98269478613,0.9637678647679764,0.866148836675863
21,262.5364254,0.064805214,2.0,7.941430241,1.0,67.53878284,0.669737297,14.75117303,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,124.66538078178662,74842.49298672928,0.9896760030996667,0.9603657289559874,178.41556105914856,109800.7378237985,0.9850268550227281,0.9418706737371326,199.74547798021172,138669.73981473886,0.9764113852821052,0.9094222226366222
22,322.0636536,0.057228555,0.082011618,5.143044328,2.454958047,39.70438417,1.0,2.064259168,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,151.03546011070654,98508.08815756129,0.986368812753237,0.9478331612128879,178.15589656027404,113788.20223492256,0.98455750047976,0.9397596804568528,205.02354869089976,142693.11281489217,0.9755950302635804,0.9067941930149861
23,289.1986429,0.024995929,1.456043143,7.801703385,1.0,60.2078019,1.0,1.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,130.29124615083256,79123.27222063663,0.9890604095987849,0.9580987605846057,181.12145147784133,113940.56051653417,0.9844072914004331,0.9396790208507684,198.82574127240954,134554.16348349064,0.9770395063297999,0.9121104786119476
24,398.0937144,0.044410977,0.0,9.72096206,1.0,255.0,0.991258693,20.0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,99.30653182484156,53810.9646568337,0.9926080665721324,0.9715033763142162,181.34526053070158,119200.2172340423,0.9836121506779963,0.93689451951296,200.20508046235156,138777.21716194562,0.9761821437972894,0.9093520194384341
