,iterations,learning_rate,grow_policy,depth,bagging_temperature,border_count,subsample,min_data_in_leaf,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
25,546.0,0.166575729,0.345556117,6.00181915,2.223867912,105.4820935,0.114445481,2.287504057,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,65.74498223843186,16877.55107300927,0.963526082521095,0.8648462547554029,75.21074321340505,20458.941929404904,0.9556322018346273,0.8362238868101333,79.90526576208138,21390.13411788993,0.9428215956827954,0.7911290625220404
26,562.8814386,0.01597717,1.01688846,10.0,20.0,82.54116,0.27872073,1.271301099,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,40.08000767083811,8524.167429254565,0.9818591938627556,0.9317393176194757,56.193130986303565,12770.66640607906,0.9729409736595068,0.8977693903209163,61.20885070192838,14259.313683128754,0.9623323048819679,0.8607602832047504
27,387.5541449,0.036904126,1.304500533,7.562760466,1.0,190.1836021,0.169334021,15.8816681,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,44.78137414218089,9683.62228478538,0.9793766397379825,0.9224545188065942,55.77797600985978,12403.901035013521,0.9738476607262524,0.9007053880442111,59.55287338177001,13440.943431031577,0.9644707735768273,0.8687515263085815
28,186.4636862,0.161763681,2.0,5.836751969,10.28283014,130.4940281,0.617100668,11.0183557,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,45.68292197323374,10067.219464906359,0.9787766107303361,0.9193827108568302,58.710821737383704,13641.975954478357,0.9715995652808271,0.8907944601551995,63.21198578003802,15053.418679546608,0.960822702813187,0.8530059861001331
29,700.0,0.04141294,1.278028585,7.442039275,3.32855936,32.08873688,1.0,1.099251956,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,45.364589015587924,10155.376228507232,0.9784732583609489,0.9186767602886607,55.79873087441674,12829.581585909407,0.9730041892319721,0.8972977677319383,60.80593056419864,14117.079251252866,0.9630150361649857,0.8621491776812331
30,345.9462764,0.057999603,0.090217131,10.0,11.87324307,222.7056369,1.0,6.752781621,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,76.95893381291307,23876.791675575823,0.9448384437008124,0.8087970342723596,83.03764946086591,25618.51265841651,0.9417030832410185,0.7949209473599157,85.2807190040578,26641.8145777786,0.9240342888576096,0.7398473166972583
31,681.37184,0.01,1.292778533,10.0,9.272087182,236.9697474,0.790849795,1.0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,37.90284348991411,7746.347587792509,0.983488253337079,0.9379680213125886,54.97485840398562,12245.703795137928,0.9738528388423762,0.9019717746028899,59.85519279089113,13744.112228745977,0.9634294097598584,0.8657911357545218
32,488.555996,0.138166048,1.739500756,4.556860735,1.0,96.88727189,0.642356593,4.298239669,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,58.82639993727945,15395.776443369105,0.9670073966208764,0.8767121581638994,67.77025192930601,18196.576937888298,0.961613795225429,0.854334371028033,73.65094446428928,20161.526641468743,0.9468345731018442,0.8031262007343668
33,332.2899458,0.027039959,2.0,7.809433365,1.048796889,66.75298268,0.949027848,2.85106591,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,79.13512720664207,24209.056864100356,0.9438986871655127,0.806136287790288,92.14062550254377,29354.294956004687,0.9292998567376631,0.7650155931859963,94.92504170135336,31576.170332885304,0.9144930562994463,0.6916641913957247
34,308.0251884,0.073123276,0.571451624,7.245119847,20.0,255.0,0.964106537,1.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54.599177959181695,12879.861868713622,0.9727250431081754,0.8968593510836081,66.42144798736362,16447.43010310554,0.9656243195384355,0.8683364866304703,73.73018649523658,19630.613191315628,0.9487152486688288,0.808310478188728
35,700.0,0.055369838,1.215253404,9.661944293,1.0,84.35925341,0.445050782,1.0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,20.587275556317195,2978.838103913902,0.9938246219226134,0.976145761640436,56.154665183947074,12572.399394203816,0.9734322847829899,0.8993565398759001,60.689306814828804,14042.088367631353,0.9629236308039116,0.8628814506103321
36,700.0,0.118477961,0.0,8.269723569,1.0,36.79069171,0.738333643,20.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,44.691863345368645,9796.45105095117,0.9793347968376186,0.9215509973032275,58.38327817300369,13365.205050570128,0.9720276367931306,0.8930100421262782,62.932355403978626,14927.164460059817,0.960969619306687,0.8542388365834173
37,517.7996667,0.024117373,0.804575047,10.0,15.6081904,119.8158759,0.976799987,1.246231404,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,34.6336635003968,6651.414958295238,0.9859964990917561,0.9467361325762973,55.37627101168917,12374.663476016809,0.9737717887833568,0.9009394379666442,60.42210446049524,13932.813459644678,0.9632798512169862,0.8639485010714558
38,495.5581899,0.055450655,0.200769785,7.511008435,9.643749021,58.15296029,1.0,2.153735001,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,43.16905923000371,9042.879398983672,0.9808792436676296,0.92758552391393,56.87072894713009,12991.419143560586,0.9728012239430158,0.8960022400232371,61.48772570644971,14450.10048968446,0.9623348272355289,0.8588972832383132
39,345.6710166,0.184542838,0.0,3.204559404,10.28034791,164.4746356,0.396886161,6.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,64.4336267137295,15049.032102468129,0.9674536208366497,0.8794888522537239,68.5076870638827,16014.052698753416,0.9658063663967047,0.871805721113564,73.75324063772882,18437.776816594913,0.9505067394401812,0.8199583178176224
40,425.862305,0.091057599,1.768643537,7.074699755,1.0,162.2385844,0.704669002,3.71113813,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,86.81395558534294,30538.788261282338,0.9365900336866305,0.7554484302319979,97.1199223491086,34015.01437995009,0.9273379805494542,0.7277060141004226,107.90558684070564,42929.85134817709,0.8999627176769756,0.5807974719810806
41,564.1131877,0.03217401,0.576546989,8.872751057,4.092884311,85.47941936,0.991603651,1.660403758,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,43.07889641359808,9188.429208265443,0.9805681336127238,0.9264199755616263,56.78797508837164,13084.50164032504,0.9724731402644872,0.895257104249418,61.60377692106279,14293.953384340628,0.962587273739114,0.8604220325502101
42,700.0,0.064811853,1.853550353,7.239021359,1.0,44.22040385,0.884313897,1.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,46.85873554269968,10474.116105886838,0.977903541105751,0.9161243231489178,58.3260398361528,13357.513734688006,0.9721158373247336,0.8930716119682004,62.58843872720977,14822.007446574939,0.9614717703581369,0.8552656765213025
43,125.6065547,0.070146888,0.691552299,10.0,15.62342398,141.1830367,0.38795237,20.0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,44.427208168592415,9773.636577330848,0.9791802303415448,0.9217336933319482,56.14484854396909,12679.60307041668,0.973152080903128,0.8984983624847921,61.220054417849305,14328.15838225822,0.9623060907669462,0.860088026697694
44,700.0,0.01,0.534344825,10.0,1.0,70.87854404,1.0,5.725409421,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,39.506613011173386,8398.826213966526,0.9820645016702994,0.932743037567139,55.538098652572394,12592.440430249297,0.9730704862796804,0.8991961091459459,60.155152033410175,13938.404179624951,0.962952406617114,0.8638939086637121
45,700.0,0.01,1.424002317,10.0,20.0,56.27951961,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,40.94943039172234,8401.49979088733,0.9821044266985567,0.9327216278298802,55.954235455078646,12468.373950538124,0.9734690821470744,0.9001892751608043,60.221631314564696,13839.945284687261,0.9632976495503802,0.8648553426395506
46,481.2965555,0.01,1.793068202,10.0,20.0,145.0242558,0.636037191,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,74.49895808922933,23985.602616814784,0.9472147662705315,0.8079256871101784,80.64076469109138,24753.49136671977,0.9460089182444338,0.8018455393290123,90.86193591670255,31416.70133387802,0.9180755563576904,0.6932213784211891
47,546.1329528,0.148599918,1.80260093,8.697662906,4.434893676,33.18203567,0.239079175,3.376170475,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,49.7228658667516,12008.66531548188,0.9745261274415753,0.903835806169071,65.17009195540818,16404.026853784726,0.9652208379593508,0.8686839344847191,67.89107719694586,16781.745788396875,0.9561224643906461,0.8361291726353591
48,548.4716446,0.045078329,1.995013262,8.995668528,20.0,118.7035429,0.650291392,4.421850178,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,45.25184658542685,10105.757105345305,0.9785769706785064,0.9190741052768097,57.109227527947745,13092.76703795508,0.9725994219804167,0.8951909388190409,62.17157517054678,14697.30131587511,0.9616317956206032,0.8564834101869712
49,670.416203,0.01,0.88530437,9.961989058,20.0,255.0,1.0,8.629372037,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,43.90265704088737,9566.436612567524,0.9796680137185151,0.9233929299789696,56.22312491121464,12795.414723526927,0.9730517555233729,0.8975712772780431,61.27882906448111,14207.28165129113,0.9626312468331055,0.8612683669413417
50,303.0,0.013089349,0.539350967,6.549123156,2.183371423,123.1584083,0.331544308,1.699991095,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,51.929802641873145,11907.804173219125,0.973493809337406,0.9046434921341432,58.76075563771279,13209.834758398052,0.9708469151312019,0.8942537986531269,63.67421754499851,14822.105068926714,0.9592119396195916,0.8552647232560251
51,693.5099726,0.01,0.754301191,10.0,1.0,58.44305709,1.0,1.287969743,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,39.634586199473084,8157.006620405935,0.9826508421178342,0.9346795047478255,55.58192324962859,12425.605384391387,0.9735239776389639,0.9005316423054194,59.853241900642665,13748.19864240883,0.9635535437538205,0.8657512326361974
52,679.8117422,0.01,0.980952304,10.0,7.002686733,255.0,0.947576821,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,51.39412291569014,11782.304681725145,0.9738144148514225,0.9056484795418738,63.94724031834975,15508.416421013802,0.9666900442912318,0.8758533959416042,64.58602721773444,15926.956659537385,0.9562547815332586,0.844476039733379
53,148.9640782,0.089207878,2.0,5.317021392,1.541754232,70.8551509,0.305483621,5.937836723,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,91.52638275923957,30287.70062300776,0.9298584191095522,0.7574591149901497,91.34965955068931,28504.99698978813,0.932814325152657,0.7718143181800339,100.16372982828986,34641.45285484687,0.908235413768794,0.6617322409709054
54,501.8023823,0.055959133,0.75731893,7.860875119,1.0,70.73370725,1.0,5.37278064,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,35.587153668034276,7061.4250678631515,0.9851907272998458,0.9434528125225443,56.41146347971893,12922.04826539285,0.9727988269697628,0.8965575616441736,61.04659292975753,14269.825637723765,0.9627138430611654,0.8606576357973577
55,690.7749704,0.037226224,1.895788295,10.0,1.0,88.2775792,0.261329431,12.28768802,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,43.46972959209679,9719.379021617828,0.9793852530177675,0.9221681824252244,56.45299465541265,13069.866240037474,0.9725262832872691,0.8953742622619069,60.50293663607234,14020.42842984658,0.9632390298753445,0.8630929561336675
56,245.114202,0.061098577,2.0,10.0,14.0080552,240.8126892,0.549076809,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,48.89585865158948,11374.695516122674,0.9758318953583112,0.9089125730758758,60.29149982990464,14555.889830626027,0.969539823152552,0.883478477591574,67.2673507075641,16890.304162486893,0.9559121507266978,0.8350691190030493
57,672.1347605,0.01,1.3163505,10.0,18.68494793,136.0500384,1.0,10.56082442,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,41.74684847812165,8899.59575050439,0.9810436657239046,0.9287329250766054,55.41222456360036,12517.086922688555,0.9734530541693436,0.8997993223827842,59.85555505264622,13748.693376986139,0.9636569431156885,0.8657464016391406
58,700.0,0.01,0.574771161,8.065415444,20.0,188.8324607,0.789512538,6.80407598,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,45.0009602126669,9952.511705348392,0.9787101290059999,0.9203012791518282,55.816051064273445,12706.198583137331,0.9730093471052688,0.8982854624376289,60.73340510963317,14026.547751259866,0.9629042704371549,0.8630332020249145
59,480.8209125,0.063000603,0.0,6.838865105,10.93390095,109.7687016,0.883523927,1.0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,44.54104502040987,9793.02246329873,0.9792490725939319,0.9215784530911035,56.22234836911436,12666.175190144217,0.9734222805771745,0.8986058541648111,61.94386101083327,14381.763335505706,0.9623268086115757,0.8595645836572458
60,318.9298695,0.040166586,2.0,6.630599001,1.0,124.6656547,0.611780168,5.428506132,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.32214626675734,28078.70094576564,0.9361036727294209,0.7751485640299948,84.93558697668533,25932.857080547554,0.9403410433848631,0.7924045851825763,94.56615444544845,31935.13919488079,0.9174141981304184,0.6881589229239535
61,700.0,0.01,1.337726415,6.608651797,1.0,197.2056333,0.687487349,6.407099894,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,46.84933582594755,10506.417739737777,0.9775402703209176,0.9158656548875339,55.98807104220061,12744.748264724838,0.9729009351947076,0.8979768679347023,61.04079862728958,14188.318347966122,0.9625522867269655,0.8614535402984298
62,319.3151315,0.130838471,0.886732926,1.0,8.732875,85.0,0.265329854,7.060045498,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,106.3217619395651,37140.53537455363,0.8942805634951405,0.7025822979562546,99.70461143873149,33099.01431197894,0.9092963110199781,0.7350386968623963,101.99121224343067,33199.5655536505,0.8929439423120052,0.6758120195584816
63,299.5549881,0.172229148,2.0,7.984813424,1.0,171.5204516,0.240043885,16.83326165,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,42.416165070539705,9131.632925797954,0.9807774174982093,0.9268747945254822,57.98233239662799,13155.802636746566,0.9727324064158777,0.8946863318164751,61.23331974025442,14284.158983325624,0.9626766028279019,0.8605176731717585
