,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,tree_method,max_bin,importance_type,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
83,500.0,8.262361487,1.0,0.896403925,0.94069703,0.686793206,0.828939172,0.0,13.31409107,2.492361653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.77343587667785,28852.902450583893,0.9307719866942055,0.7689488356157508,93.87929634551163,27004.087887454232,0.9369609082853129,0.7838292630329854,95.62136911139947,29191.348923319136,0.9137526511629998,0.7149515574677767
84,287.149285,2.0,0.485409161,0.876549045,0.408792009,0.904567595,0.135830509,0.460957362,12.18085491,2.500412642,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.72217096735402,32138.062527558934,0.9215024715140159,0.7426416014553839,95.68146107028105,29317.659487378656,0.9280226629200291,0.7653088642005563,103.91471824499473,34417.09204199011,0.9054318745782116,0.6639230852665245
85,117.5982016,3.840716395,0.864951277,0.642036917,0.1,1.0,0.1,0.789895686,12.59856334,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.75927845127927,32094.746851086147,0.922031188754343,0.7429884690712942,95.62173466443765,29373.76211225568,0.9281944103524977,0.7648597564278371,103.53701976803382,34385.44810050905,0.9061839288742157,0.6642320828485977
86,500.0,6.239497581,0.526243043,0.590050102,0.458796874,0.714539131,0.600143158,0.0,15.0,0.939277818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.99041279097312,28529.96763965402,0.931705096383418,0.7715348653648668,92.77613599527751,26904.165938880884,0.9372563693361163,0.7846291493817599,95.22635772563478,29188.64045701928,0.9139744140571844,0.7149780051698837
87,348.9387317,5.565588293,0.91039112,0.599379977,0.159467535,0.663156018,0.222512016,1.313405857,14.98123858,2.86357608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.16718495861289,28528.106397770218,0.931204218096743,0.77154977000419,93.12777379734516,27036.604622884286,0.9361036231648442,0.783568962937275,95.43792846092585,29171.906521416648,0.913541504789866,0.7151414091391041
88,179.7656199,10.0,0.1,0.170626759,0.667387459,0.482843589,0.15096747,1.282067153,10.91047714,2.559067679,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,63.970240680033896,13934.183681056084,0.9696325591699453,0.8884164471922352,68.89338886319709,16030.949459772795,0.9658263249297221,0.8716704606560682,76.8569793011012,19321.74193308092,0.9483810176026889,0.8113265522774604
89,130.6670603,3.645488012,0.841383752,0.428786317,0.650685734,0.820551793,0.640036393,0.03104695,7.539317898,0.016068982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.41724066105644,30481.68150808967,0.925878350744331,0.7559057354144476,99.30106727353339,29223.966217208592,0.9305462881697499,0.7660588892836447,99.31768674589418,30497.38726619992,0.9092603368735345,0.7021983203185289
90,407.5234087,10.0,0.471999054,0.178094107,0.289071999,1.0,0.574146237,0.0,12.70111376,0.440585974,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.32967335123138,32123.565503630078,0.921519891350387,0.7427576921767456,94.99959685152481,29206.88411052828,0.9285103730203843,0.7661956334538393,102.85889898491573,34179.83210827294,0.9061153516818394,0.6662398872327178
91,500.0,2.0,0.872058111,0.56433572,0.1,0.42152065,0.1,1.878561944,14.97869982,0.848856391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.73144212683664,28554.148023326467,0.9313712851215663,0.7713412312647154,92.16165073660717,26896.497490149446,0.9370605818884933,0.7846905361695891,94.97603652896274,29233.320381886802,0.9134184412718814,0.7145417134784857
92,418.9395666,3.216054858,1.0,0.607235289,0.584569822,0.814405509,0.132134737,1.304465693,10.48068247,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.46385295170126,29675.155885029995,0.9284804509249487,0.7623643121428315,96.09315971519831,27972.89282441039,0.9346283051121538,0.7760738714022096,97.79431000176376,29807.183896311817,0.9116896459527712,0.7089380361204228
93,60.52286996,7.317136196,0.469452315,0.772319786,0.1,0.246209391,0.1,0.419442796,11.08118194,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.84252759955368,66219.03135485997,0.7904212313979962,0.46972460309178077,158.3061457300672,66016.7998163068,0.7882510257907333,0.4715281505536427,157.18960865513316,62297.51151267686,0.7783655003999818,0.39167564071915206
94,405.620496,9.815153441,0.647732938,0.238831307,0.700102126,1.0,0.529102983,0.476528274,11.94649847,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99.60614518719277,32208.02125243063,0.9219003642740695,0.7420813789658743,95.04338822968084,29036.58915607549,0.9298672023820114,0.7675588635677113,104.14864793462651,34818.147726599265,0.9051489179357682,0.6600068462956283
95,179.5609901,2.0,0.536266126,0.818419054,1.0,0.1,0.431416122,0.0,11.91067846,4.0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,61.75801870282112,13527.406570875968,0.970497276971672,0.8916738777094231,67.16104469133133,15271.06646239234,0.9678387087714575,0.877753408846618,74.16564163897385,18002.20156395394,0.9519702063651287,0.8242116343634607
96,141.1632093,2.45125684,1.0,0.760850114,0.224771957,1.0,0.465044331,0.376531534,15.0,0.735766562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.76259689257249,28536.384731105067,0.9316651582973896,0.7714834779367125,92.3757667852381,26886.64344167012,0.9370109919356089,0.7847694189272947,95.01096625731907,29198.609850978326,0.9138756440027123,0.714880655772688
