,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,314.7758163,7.906629665,2.0,6.582252201,0.671611803,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,121.16105683842031,60263.34854077157,0.9916880218386308,0.9680863932404248,180.56564011305164,110726.17632110335,0.9848819855804998,0.9413807397220044,198.13567181783316,129640.76609130383,0.9777798947199038,0.9153198638439519
1,500.0,1.0,8.37001936,20.0,0.001,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,762.177405286845,1056772.2308506009,0.6813230970795839,0.4403660893986342,779.957319231297,1067924.9595946763,0.6781089954919772,0.43463259326948234,721.7131580708317,875013.7660518726,0.6941522552229457,0.4284491901605685
2,146.1501934,19.99264545,5.554969892,5.913140891,0.769625116,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,124.6361378340348,62362.54980280216,0.9914156025245424,0.966974721134446,187.44391806332652,123838.5157181656,0.9829142920265139,0.9344389698396888,210.4511133507726,144988.33012253442,0.9753264417865672,0.9052949785319278
3,24.73890183,20.0,19.0,6.764125281,0.552855857,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,120.74451166987006,59792.26961265189,0.9917683931170087,0.9683358620805866,182.0323491398685,111306.14428547729,0.984887433202597,0.9410737003733508,199.4371432116163,137333.5996351213,0.9766595664751286,0.9102949769078666
4,393.4580611,13.74727019,6.695039931,7.458222006,0.621899772,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,150.73811485882953,90180.54875579543,0.9873102065232957,0.9522431686913642,203.83118150149608,144384.46953204254,0.9795284169834234,0.9235617892642246,217.2508013755465,151049.70358034316,0.9734376689208578,0.9013357460684416
5,500.0,20.0,2.0,5.226136877,0.856845262,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,100.69913605480951,44897.13046662461,0.9938544776623024,0.9762238673913746,175.1402029635326,112101.17245794056,0.9845966448623219,0.9406528065529518,199.7403536367982,138978.9805359447,0.9762916499212662,0.9092202294892023
6,230.3039597,7.989188165,12.63340275,7.54085605,0.810790506,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,152.55967121185603,92210.35268430182,0.9871760158686813,0.9511682472682779,195.94494100134233,138092.56511855367,0.980995520891926,0.9268927702003763,220.8288712315473,161756.0955131132,0.9723465994734355,0.8943424309721049
7,245.5844178,10.30423873,16.26099662,8.27384298,0.99515611,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,127.49230627898707,67831.536178723,0.9906394057914152,0.964078514985919,181.7076496410824,120950.4304584523,0.9832628392864255,0.9359679436304319,207.37064285710076,148926.48057733927,0.9744267322404775,0.9027226154800077
8,142.7870425,7.114081683,4.806413897,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.20557602039605,227868.3921194218,0.9665307214834988,0.8793279425202215,309.26032021690537,284782.17439039395,0.9593933639801917,0.8492342013625339,305.84991852186175,284536.6550668776,0.9476589021295405,0.8141433175774334
9,385.629377,20.0,7.336197131,1.674194703,0.806045583,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,82.90406833049478,31001.684501762396,0.9957791667793384,0.9835824660920677,179.67754271859903,116883.14970641359,0.9838232472308336,0.9381211922745107,205.7223578865962,145749.59604120636,0.9749998709608904,0.9047977267523548
10,234.2474663,17.0,18.0,9.484421598,0.904421298,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,132.78205530312917,73666.12732203388,0.9898279978959202,0.9609886958527432,181.59862204174303,119446.50807763077,0.9835394334864177,0.9367641313107834,212.29860943779474,153532.1588438047,0.9735374927138568,0.899714229503481
11,286.9777953,9.71610929,17.13007087,8.852988138,0.637538055,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,127.16538523202395,68128.16599341479,0.9905626318001203,0.9639214290043322,174.45688483801706,113206.74630448633,0.9843780695874715,0.9400675075457932,200.39460512359702,140312.09817009454,0.9758365108933321,0.908349449516394
