,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
10,79.70738983,5.226426787,14.68946968,11.13833492,0.661726747,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3799462817714,30401.835729897128,0.9263795712043285,0.7565451324405926,95.2106046986338,29427.336358937064,0.9282594017067954,0.7644308886047195,101.7617786612739,33819.77987540043,0.907798738396055,0.6697557346325813
11,260.1802968,18.80830529,16.1758986,6.224225116,0.483686741,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,36.603016125676085,6186.931763538301,0.986862484301349,0.9504556676618684,55.72756020193244,12455.845843866287,0.9736631299450984,0.9002895640527431,61.37869693362014,14034.5445243076,0.9629456775069501,0.862955114927654
12,273.964992,20.0,20.0,7.976731137,0.579962352,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,43.492654845244054,8428.826556929524,0.9817835488062617,0.9325027978136031,59.24841521959547,13755.546795716646,0.9702273549320455,0.889885312897541,64.03103488294019,15153.32829395384,0.9594639067137022,0.8520303861011203
13,339.4367702,13.70298007,15.1246662,11.03061792,0.373709408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74.56012718855798,18926.099449553614,0.9566358631584279,0.8484416837245098,83.63790120127324,23120.028984945893,0.9477651441662834,0.8149215879757064,84.08084869067247,23531.47457351259,0.9330127044665465,0.770219245596147
14,356.0935567,11.88773705,7.858482651,9.899560557,0.522169159,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,40.739291035764346,7498.91556821275,0.9839679942605779,0.9399494322409263,55.5481075140738,12427.76008929556,0.9736705328346369,0.9005143936522145,60.68428459402489,13862.06479881356,0.9633495239972646,0.8646393494332127
15,500.0,19.94455844,11.70460355,1.533797459,0.41508359,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,31.581115918944516,4620.481547320556,0.9902497052125311,0.962999644720223,55.698178906312876,12341.916295201878,0.9738920128810569,0.9012015828033763,60.02292869862224,13521.084261277694,0.964211494401171,0.8679689650468563
16,4.259468423,5.872124287,5.74366459,11.63661669,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,60.43965876451106,13877.625871281904,0.9694378738558558,0.8888693564905538,64.9815146856124,15570.426755007342,0.9663079795909422,0.8753569962981567,70.62166919644075,16999.65961296012,0.954516587813788,0.8340012820585597
17,372.5847697,19.70077133,17.06038535,5.063461897,0.798148501,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,35.462083767475306,5899.92214499978,0.9874880870968803,0.9527540120543044,56.48071022701681,12820.558458707135,0.9728757685856964,0.8973699988720972,61.27464506325207,14133.526934280802,0.9625232821510995,0.8619885689185928
18,443.4699142,20.0,11.88269419,13.58498928,0.920589987,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,50.539534797177886,10629.082633380844,0.9770151662213767,0.9148833666566066,64.33574651702843,15668.943241034116,0.9660782848386859,0.8745683608339053,72.23432726185494,18387.735769572257,0.951547883565712,0.820446959933955
19,500.0,8.671930165,20.0,11.0116807,0.358579153,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86.12586598323635,25459.388804785573,0.9392316860360885,0.7961237543456228,92.80068433131163,28679.174960457996,0.9308002459431038,0.7704200040880324,99.5895310679044,32658.114540639548,0.909507182173933,0.681099194480466
