,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,tree_method,max_bin,importance_type,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,87.23688149115014,2.616643622553521,0.1444207614858966,0.6143403343389822,0.7401310221191811,1.0,0.7374935395705136,1.9572434821071345,11.206347932584002,2.3493412616042124,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,180.1623763386775,109583.03083814144,0.984768831501567,0.9419682138750587,203.51250784965464,132207.30444335204,0.9818308747221413,0.9300084709207104,227.81463673582556,158689.20618295783,0.9728076475155819,0.896345694404459
1,356.9614443581208,6.817684831206732,0.333020956645338,0.1,0.1411900219265707,0.797051262808594,0.7453990398853454,1.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.6996382752205,317640.6680353375,0.9523452359941705,0.8317873198886345,320.65922820803496,295707.2496770203,0.9570488973532919,0.8434503853484575,318.0816157563013,293109.3744175704,0.9453883407216324,0.8085436974600007
2,382.3882894019992,3.7101858242008894,0.831501385034524,0.4517857275364549,0.3925659944423932,0.7565882433706611,1.0,0.1225827268340634,13.320053000297513,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.99764786273664,315562.93779349857,0.9524138716306266,0.8328876216059489,321.6772420746868,294818.4390820073,0.9584919343344337,0.8439209282800206,315.41874083345215,294505.5090995583,0.9451659585662769,0.8076317553408092
3,217.66515972107447,7.414505104927125,0.1830969593406284,0.971526115551548,0.5556246907044649,1.0,0.6332227184195021,0.0259780024281691,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.8274393825724,949400.8527162989,0.8076468086884993,0.497226652609679,601.1381811613159,953840.5475838117,0.803128009220886,0.49502972846841875,596.3132127245584,887551.9592517066,0.7987332927968482,0.42025935960553296
4,383.63519641199326,3.980910339431285,0.8313055253292316,0.4517857275364549,0.433756016368964,0.7226139120624332,0.8629524163951103,0.2533256770069501,13.320053000297513,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.1574991052227,315121.530701276,0.9531607626418633,0.8331213771589208,325.28050174839115,293061.7532187016,0.958335786555538,0.8448509308256622,315.47886700864433,294405.9969877816,0.9459233664853772,0.8076967557216962
5,286.966705593424,7.133924598715013,0.1,0.1,1.0,1.0,0.5610856907927824,0.3160495311848187,15.0,0.9066265219326188,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.00099120645837,304822.67493457143,0.9546541535793907,0.8385753328545592,319.6399444420526,300989.7585793345,0.958012782470706,0.8406537858942544,311.5165694739543,288006.95327071735,0.9469704817086908,0.8118765512410151
6,368.9144550210238,4.866421791968182,0.1293801326311642,0.2755916630150181,0.7430777259041931,1.0,0.8592937118898117,0.5299713730224387,14.16146487942925,0.0097105064481542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.59576133174295,468077.82939787384,0.9246756896692838,0.752120448962891,355.7863811121725,411706.76698297804,0.9334858421883087,0.7820393791798663,376.2038733711241,461083.2157879896,0.9166868292609198,0.6988247549794867
7,291.1717018751638,2.4147358451275096,0.1,0.5954273557057702,0.6580753962638791,0.6429460873480604,0.7603454457283257,0.9870469952583192,14.592597348877806,0.3786686966335864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.6352453329801,466978.8620235862,0.9251346231465185,0.7527024281172835,365.29677124597686,420185.9150470662,0.932015119893979,0.7775504552070648,376.676176870349,463310.7282213927,0.9167853173120846,0.6973697646871815
8,286.966705593424,7.133924598715013,0.1,0.1,1.0,1.0,0.5610856907927824,0.3160495311848187,15.0,0.9066265219326188,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.00099120645837,304822.67493457143,0.9546541535793907,0.8385753328545592,319.6399444420526,300989.7585793345,0.958012782470706,0.8406537858942544,311.5165694739543,288006.95327071735,0.9469704817086908,0.8118765512410151
9,261.9688849939984,2.0,1.0,0.7775988306276796,0.1,0.6065637673963027,0.9227404182596264,1.263803585430883,12.072860977464815,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.9939051389294,317667.03855595074,0.9522231356659516,0.8317733548759814,316.97409392078566,287327.7903292284,0.958143240864885,0.8478865333743103,317.3253171514872,294008.3407230927,0.9446999865439817,0.8079565010753564
10,500.0,8.38240386778725,0.1,1.0,1.0,0.840941214022319,0.8491381238019988,0.3191553899856557,13.253280489090596,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.5553229666241,313651.44638652436,0.9528977759565262,0.8338998883744511,322.225797112117,291618.08892104257,0.9579863478888078,0.845615217429158,314.4072049259523,292046.57556777704,0.9459112701282353,0.8092379077305849
11,261.9688849939984,2.0,1.0,0.7775988306276796,0.1,0.9191948693519776,0.9227404182596264,1.263803585430883,12.072860977464815,1.412263057232484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.9939051389294,317667.03855595074,0.9522231356659516,0.8317733548759814,316.97409392078566,287327.7903292284,0.958143240864885,0.8478865333743103,317.3253171514872,294008.3407230927,0.9446999865439817,0.8079565010753564
12,442.1554046891395,2.096419566155564,0.8449244780082541,0.1,0.1,0.250702382569585,0.9562053209940538,0.6053693102900244,10.876151631209272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0055868171095,326646.1941739717,0.9502926464172637,0.8270182715896174,309.27694829450417,307866.88492092246,0.9548974397241589,0.8370129841220237,320.57064375172234,307162.89501609077,0.9426527589520229,0.7993640692177825
13,245.69023718348436,10.0,0.333020956645338,0.6261596027786713,0.1411900219265707,0.797051262808594,0.5622827567770404,0.0,13.253280489090596,0.2793980437652711,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.3623843689408,313797.118890947,0.953006507342547,0.833822744718574,321.21411329482856,290468.10323983344,0.9582101942733482,0.8462240283915023,314.14267722806915,292262.1952874623,0.9459820092121158,0.8090970669459199
14,202.9333419871696,8.027695392508164,0.1,0.6655556325157852,1.0,0.1,0.7887154280569226,0.1604512382999893,13.47084497821855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.05300216411536,476453.3822988251,0.9232984531203323,0.7476850150192538,358.66356092162414,417741.40703871404,0.9324305873883498,0.778844595905807,375.020175992892,461305.30709103117,0.9166923194133503,0.6986796870170884
