,layers,neurons,batch_size,learning_rate_init,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,5.977728481,36.0,1024.0,0.024651795,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,56.45204265273815,12212.531134117811,0.9732844434287531,0.9022032690316147,64.96846963258324,14686.329776538298,0.9683959522258306,0.882434291268551,67.68414724451273,16193.904896975058,0.9563731889491736,0.8418693366475363
1,6.829028673,50.0,262.5050444,0.0001,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71.25796258660533,17962.436807012447,0.9598821350948149,0.8561585980285067,71.46035062629335,17684.003299723412,0.9623786475722259,0.8584375802004283,75.29177814396813,19547.204907685806,0.947426682661229,0.8091249455641625
2,3.588379162,50.0,1.0,0.0001,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,56.7911436539698,12097.813229565034,0.9741801533294998,0.9031219185667191,62.98321800781405,14290.83905505428,0.9701589382602246,0.885600238627452,67.20756186947564,15179.112824840888,0.9603823326342493,0.851778604643878
3,3.827376533,10.0,135.5774482,0.074986372,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.33268457050212,20060.068742377865,0.9551337627128857,0.8393609707552769,73.16293940660765,17728.96535844372,0.9605659276080939,0.8580776539029864,79.62006870995612,20915.28196366848,0.9431767661322428,0.7957659111770804
4,6.81409524,24.0,120.2358199,0.014614192,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,52.89578902165237,11112.892341772611,0.9764982860075314,0.9110090667779107,58.944973756603325,12354.065124439256,0.9729620906420093,0.9011043300696244,64.71711579445495,14413.746573296467,0.9625334257998261,0.8592522729057508
5,7.0,50.0,118.9601274,0.018596543,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,60.47188993918214,12958.25281407622,0.9715463209835234,0.8962316042136276,62.5425953000292,14679.470624214431,0.9688841733983435,0.8824891995483269,71.065804854602,16626.041483809233,0.9558792314298704,0.8376495980749254
6,6.0,34.0,689.7066,0.1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,62.37289935427522,13657.106174642642,0.9708030813959037,0.8906352562216269,65.05710443231072,14641.183480362952,0.9689342378288577,0.8827956924073797,74.02331357853572,17584.19239391559,0.9541158527419347,0.8282934211694288
7,5.305137859,19.73213009,57.15239936,0.0039076,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.03739780615814,36984.226646049945,0.9060077306370058,0.7038340026603498,113.74058251146604,35013.82744214061,0.9147732011091385,0.7197104040784927,121.38632660077022,38380.27783845782,0.8781634983174222,0.6252232656139116
8,4.662767415,49.86639592,161.9889987,0.015001599,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,51.65049488298325,10749.560978660402,0.9771095719682,0.9139185880868386,56.8518659722066,12943.12582221874,0.9728970919979681,0.8963888334497051,61.496537281166,13908.743087371378,0.9637455248263458,0.8641835440681224
9,5.875079507,49.92682943,180.8418182,0.008261117,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,54.27882031298182,11403.21685354954,0.975562506223184,0.9086841770511238,61.427261734268676,13388.743064984106,0.9719614842066341,0.8928216176942508,62.686456787263694,13975.874424016947,0.9633880969272676,0.8635280182475722
10,3.827376533,21.0,259.2783034,0.0001,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,78.13237614137671,19301.971839850074,0.9564754424600309,0.8454317351210157,73.67301140046273,17530.818418796523,0.9611697691018556,0.8596638422663858,78.8420444628005,20220.869844338045,0.9447807424655855,0.8025467246848974
11,1.170971327,22.85174581,1.0,0.02165387,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,70.15879377984508,16818.630992601287,0.962917601579563,0.8653180808812907,67.06453786216939,15663.943878615675,0.965727286869249,0.8746083812879515,70.28167217233566,17419.69123980605,0.9533707245328203,0.8298997463138014
