,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,467.9001729254521,13.267848708035883,9.005811003829454,4.4819801986526135,0.7011007126691099,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,127.76411566261663,64408.77643473064,0.991082415027388,0.9658911027552225,178.28912201962433,117110.21704130567,0.9838984751549559,0.9380009811406405,203.97576767536057,141862.72713052572,0.9758009782689884,0.9073365931791803
1,199.533217565472,5.614982987785396,11.59637673309447,4.9726616689014005,0.3208442250665044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.9012138972374,912639.2344282321,0.8179088025247854,0.5166944694220361,631.2537817572107,865473.9663432963,0.8246115183619243,0.5418116530116504,555.842925420606,693724.3093615832,0.8455963609652934,0.5468657680553475
2,500.0,20.0,2.0,4.0634455385674855,0.8653866522558442,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,135.79193842291568,71826.90153244972,0.9900426781987497,0.9619626929838708,185.51170758289368,126953.26455751056,0.9824430955515537,0.9327899986661096,207.79915619891267,147662.493555297,0.9748316918051834,0.9035482399834192
3,330.8331242330159,6.0,5.959633606794358,3.129646448694948,0.7209638968290906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,372.2967461228777,396519.87461512163,0.9358740333974757,0.7900153300930224,390.49819519095627,424462.46993016516,0.9307881402528311,0.7752864152834019,383.64589162112685,412640.42126210086,0.9234708302343956,0.7304671353812089
4,500.0,20.0,2.0,4.630861196149524,0.926203088475406,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,132.85597861002893,69549.86898841086,0.9903355976117266,0.9631685390403681,177.87823436185406,116428.6950744877,0.9839896609060614,0.9383617839325857,201.92053506457194,138368.1076938098,0.9762283496121341,0.9096192459174883
5,500.0,8.232767964473862,2.0,6.181496094470056,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9750445764102,130525.8899019468,0.9814278412369113,0.9308775230195496,187.5423847852311,135838.73202408085,0.9809862815381899,0.9280859661832749,214.21239275947562,152913.66430556905,0.9734807298998994,0.9001182243523905
6,399.2708549072602,8.0,19.34815560205145,5.586762794110928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.5315185435173,353655.7344969547,0.9452467653037134,0.8127148538490416,322.6247089109968,350731.60328853736,0.9452841371164586,0.814320083796021,360.0155690814362,443398.3562845275,0.9221367898186057,0.7103763398382112
7,457.0820562996237,15.733586426738109,10.022740848320646,4.504091679324357,0.8041505512937668,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,136.30984416372468,71802.4978838439,0.989981657332076,0.9619756164019012,179.71203940476414,115322.96622933183,0.9839740583695602,0.9389471649971599,203.24287807073048,140489.28928003417,0.9758524113868893,0.9082337099402736
8,129.0,18.202027676754717,8.991991711585587,8.254534749416129,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,136.23893001206233,72982.94975670519,0.9898524880620708,0.9613504855755979,179.41772370335067,111740.02788904795,0.9845815180966861,0.9408439991704997,199.11487275660383,134968.49545733782,0.9768181608383338,0.9118398408409978
9,444.4356788694388,14.045092236482388,7.0,8.76937829176555,0.9977475565420616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.38580199024693,358375.0438302995,0.9431484501227291,0.8102156534911448,343.29540358196476,357499.2914370577,0.9410260738525139,0.8107372194161662,362.18953125916056,431668.4422523368,0.9222865321109719,0.7180382099990609
10,457.0820562996237,15.733586426738109,10.167493746556724,4.504091679324357,0.8041505512937668,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,124.34226571402243,60804.32520987697,0.9915630232192268,0.9677999087170457,177.12931123912963,110976.36325404594,0.98461109861818,0.9412482889011815,198.54261806574695,134899.87583496704,0.976880263450467,0.9118846625366768
