,learning_rate,num_leaves,max_depth,bagging_fraction,feature_fraction,num_boost_round,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
343,0.016359746,94.11740052,62.71382321,0.973221486,0.566657304,735.0266,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,43.23359844502505,6736.333918666222,0.9990986378658409,0.9964326457641819,191.19608581801714,122390.74309715253,0.9833775568198736,0.9352054314200869,205.8659072438462,142855.5192561321,0.9755702214883224,0.9066881106462107
344,0.177780775,74.37489797,2.0,0.1,0.333272881,199.4947825,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,189.0323735568719,112973.76161694458,0.9842224826184838,0.9401725876557638,235.52685060482017,156895.81820832554,0.9780314806432181,0.9169381883339718,244.79803782595357,175736.68011990332,0.9696157895327154,0.8852104438376693
345,0.01,55.89915697,15.88487925,1.0,0.482365496,867.5350115,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,65.80695167908453,14155.640012792488,0.9980969508217097,0.9925036105736353,172.67643966727073,103448.67378179694,0.9860845631279158,0.945233503627517,200.20138298593918,134651.36402382617,0.9769838992194846,0.9120469881279107
346,0.057716554,100.0,50.44316064,0.323049071,0.980298376,640.0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,5.312109463016978,154.1072755338966,0.9999795799258363,0.9999183895500455,181.3915147560908,111333.19670401637,0.9851349635098161,0.9410593786220163,201.71293549591297,143543.6731233757,0.9755318741416024,0.906238614974969
347,0.161799684,50.45033357,3.527134189,0.580582547,0.64114706,961.8159368,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,383.6690856503945,359922.3666596515,0.9442644753651136,0.8093962391455805,455.11050450319107,506693.0451757764,0.9245519704679216,0.7317529378954261,438.5130822184993,483472.01127056364,0.9056060629064772,0.6842006031251306
348,0.01,100.0,8.094285373,0.822126834,1.0,425.0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,93.10008916918031,29803.558628850824,0.9959140662317308,0.9842169565225273,185.87783642498238,109807.51943970352,0.9850140769100539,0.9418670834992949,203.04306364829338,137474.753986684,0.9763315149079836,0.9102027762053427
349,0.109506112,100.0,45.01969636,0.986916507,0.494304809,612.8868272,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,7.8308427917686565,153.45179633223864,0.9999796600334947,0.999918736671571,228.20904781968792,167652.45786555158,0.9770587409121817,0.9112435433933304,247.54912765234047,197657.43092505532,0.9659219725865604,0.8708920143899774
350,0.061534142,68.1924646,64.0,0.570787396,0.700982304,100.0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,89.01185997589434,26705.94656640896,0.9963843998983732,0.9858573561293895,187.04972100714093,120877.95760285715,0.9837996094402734,0.9360063112985514,204.5615212002782,137653.00842800757,0.9766098349797824,0.9100863420711055
351,0.126836968,12.79338302,24.38718012,0.643599805,0.535412671,590.5588779,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,115.62934202900755,38364.55779951807,0.9947813637177259,0.9796833159662466,241.85269763522217,162759.8500367865,0.9777527741227944,0.9138337263228016,251.8471227172338,181977.2700322872,0.9690826599565381,0.8811341488618857
352,0.01,100.0,33.04284067,0.598742358,0.827142009,1000.0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,40.200346086135916,6201.24884118362,0.9991714408592152,0.9967160102827357,176.11989619372685,103774.47614116885,0.986061557008714,0.9450610214382303,198.71942585010285,136890.56244649016,0.9766544744082897,0.9105843646566945
353,0.01,16.06952895,41.23857494,0.934252088,0.712242569,335.5233774,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,215.43552149958174,120529.26906148941,0.982338970421902,0.9361714244397652,247.47751096505226,160581.5156048776,0.9766499287561182,0.9149869527528942,265.33975684281836,197686.50197260376,0.9638493739592126,0.8708730254535585
354,0.01650386,51.18676283,32.18833437,0.636851952,0.747873829,396.0312762,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,100.49911246142119,32158.299415816527,0.9956326516854742,0.9829699585823927,190.1009014205619,125577.01534704593,0.9829875238112412,0.933518595221649,210.20639937781024,141093.39689643204,0.9760741291695492,0.9078391124941783
355,0.01,2.0,2.0,0.819647445,0.659740264,1000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,607.0979504721323,797969.0654674583,0.8435046420796144,0.5774202466627797,604.9287517360208,851455.0889741097,0.8338105405050489,0.5492333508306604,615.3044417718669,805538.1519838899,0.8139184263146799,0.47383001161188876
356,0.04842702,73.18436599,58.60936944,0.147991098,0.771142307,206.0133997,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,53.76504070298066,9806.39166674096,0.9986855673751902,0.994806838070556,177.20513485166322,108966.36982386027,0.9852016493906698,0.9423123943544343,203.86975249283205,142710.07102725276,0.9756296293972072,0.9067831160692462
357,0.146342932,100.0,56.25073909,0.882937118,0.840990248,100.0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,29.081746594124567,3063.542711602024,0.9995919422326094,0.9983776424683225,184.65272586697375,115040.42372982009,0.9846207751582644,0.9390967450952792,206.6770388287132,149874.51306581197,0.9744662079424309,0.902103369523472
358,0.053824114,79.04363867,33.54251512,0.438794361,0.941388746,100.0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,76.10149264773524,20548.742880529044,0.9972207969953706,0.9891180208937586,182.99026283989062,114638.51272247374,0.9845577510105727,0.9393095197681794,203.66058541825623,137497.9713120665,0.9764715308977494,0.9101876108655053
