,layers,neurons,batch_size,learning_rate_init,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
20,4.408281666,47.3129468,1024.0,0.099059596,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,217.7285517373564,148553.65538077077,0.9782439493401546,0.9213305756265453,212.12981429017194,150337.07645648482,0.9790853243540171,0.9204104349392583,243.70255534006643,182799.97199076423,0.9674372549600906,0.8805967676355929
21,1.729538205,17.74316564,498.7956368,0.074228652,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,198.9221227107046,133317.17345593782,0.9816761308499466,0.9293993455227205,212.38895712628414,142220.40769874555,0.9803220431252347,0.9247074596745875,235.9986530898998,171237.65393809686,0.9712668014768564,0.8881491656697872
22,1.0,17.68076068,14.0,0.068258471,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,192.63870017932786,120430.96070696179,0.9832425050862932,0.9362234855057953,196.50119460204763,121964.36631662658,0.9832381229809367,0.9354311584550534,230.69147604624314,169182.4914816607,0.9710346446880489,0.889491578568761
23,2.413266093,46.07813755,1.0,0.007782418,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,171.6870791303225,102683.15085646055,0.9856554186318565,0.9456221770509459,197.5821167237873,132056.9302132059,0.9824913481793696,0.9300880801552104,213.24641391432164,142262.3906862991,0.9753927577108145,0.9070755366817537
24,3.634242796,23.40591152,33.82907297,0.009009139,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,166.09598093330138,96300.375319148,0.9867547321740888,0.9490022976958286,201.85266452190848,128327.69583736852,0.9828976734169403,0.9320623645365378,212.6226568742909,148097.34714722715,0.9748749033071962,0.9032641976834326
25,3.410181452,50.0,537.9557571,0.048661556,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,183.76667532796202,122041.70326785768,0.9832305536408381,0.9353704860305908,204.5956397261359,135011.7863086534,0.9813421041812247,0.9285237573880198,223.21933120650849,157304.814796746,0.9737719737883026,0.8972499659126596
26,4.258431121,21.18461816,150.2473382,0.03382859,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,364.7511893765551,416549.9898833532,0.9376151093140217,0.7794080001404422,350.63163947797693,400436.4538395667,0.9379682754346582,0.7880059666799373,384.1393943758033,470149.6341995104,0.921299728880188,0.6929026552520401
27,1.141609668,10.0,32.89126936,0.036665951,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,197.63022781724402,128826.77306520335,0.982161561110557,0.9317773227797591,208.2837901753556,136742.70258124746,0.9816532472755412,0.9276073974551313,231.53570970582393,164344.56017415493,0.972239607259617,0.8926516700599256
28,5.207377076,40.02487352,483.5346402,0.045562312,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,329.5876290337101,295682.9561778661,0.9560749184000621,0.8434154454164636,309.5919403844852,264616.4620203751,0.9619478709976212,0.8599100792929817,315.35966246979575,278691.77682638913,0.9491761476622278,0.817961137389386
29,1.0,30.64250124,183.147229,0.029955759,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969.732738488479,1581456.9586476884,0.5161945194611013,0.16250927458287023,947.0719846676292,1604985.1113100713,0.5553842729179936,0.15030895937963074,916.6257560657689,1396424.4016048114,0.4993608461456057,0.08786863866384154
