,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
0,254.1525248,15.50243726,9.496188719,3.256808228,0.845276727,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,33.64674748535027,4942.979458758021,0.9895522620788686,0.9604171136186559,57.68091449162877,13088.419668339991,0.9724169305456903,0.8952257399979394,63.45843376486493,14894.886478255312,0.9606577706946965,0.8545540254589169
1,463.1610049,11.06969465,19.41124087,20.0,0.778477807,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,139.70395914144078,49084.422967596234,0.8500269989585759,0.6069368376642265,136.35236367240034,47889.305567744705,0.8519935064463107,0.6166407648885093,128.63731478179858,41041.77853882983,0.8567083071359536,0.5992341744132161
2,388.5727754,8.056669126,20.0,16.6019447,1.0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60.965819398633315,13697.898037289833,0.969625904019104,0.8903085990550497,61.75015979278414,14248.99437381711,0.9691287515528478,0.8859352099702682,69.83806248132552,17017.820769857568,0.9537169691622293,0.8338239415217521
3,477.8254792,12.81901216,19.46060049,8.506649987,0.826095789,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69.84685935441952,17870.880374922814,0.9591356083422519,0.8568917728027745,70.68287743993042,19256.781377632386,0.9564941154735388,0.845847316178028,74.86262598399905,20457.054082138387,0.9423938216109418,0.8002404267021458
4,345.61802,20.0,15.48265475,4.804692337,0.838487415,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,39.375841488230606,6735.197225506113,0.9856192953045863,0.9460652125388078,57.714882012291355,13115.135018903988,0.9721752660113211,0.8950118806354673,63.6001600965284,14914.720155064448,0.9604686847496091,0.8543603530562136
5,450.0,20.0,18.9038544,10.32547362,0.715919785,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,47.18623920084239,9238.538340667043,0.9800295117463804,0.9260187066283707,58.66056668079253,13280.244692321374,0.9716458526266999,0.8936901592749172,64.40369310625124,15121.039313098485,0.9596710025314341,0.8523456823804374
6,388.5727754,8.056669126,20.0,15.71450164,1.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62.33929803132672,14148.179967985388,0.9685303946934832,0.8867027862753274,62.382343195609934,14426.468293450502,0.9686559215540922,0.8845145114390137,70.57445334663383,17184.991133835516,0.9530267447614711,0.8321915520074945
7,314.1815896,13.52173795,13.23464298,16.5651168,0.902204826,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,50.85503107739616,10637.57217535968,0.9768072630283084,0.9148153832513787,59.020407005848405,13451.938687706395,0.9710361716506604,0.8923157296822616,64.79835586645908,15365.045023023751,0.9588756000227365,0.8499630090834317
8,450.0,19.0,15.67195437,13.27891581,0.669596162,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,55.50617482048345,11980.419790756854,0.9737729293354607,0.9040619935132226,62.09093675639145,14332.522729483206,0.9692175353970878,0.8852665561621027,68.99261030363887,16815.006900928485,0.9546791798160698,0.8358043836593878
9,483.6233872,20.0,12.56077304,1.0,0.715919785,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,32.54595191683655,4491.809256814902,0.9905087760296915,0.9640300395859125,57.57459049532931,12883.421359649392,0.9727102301628805,0.8968667743350861,62.854148561875625,14625.752438070374,0.961182707474853,0.8571820725282264
