,learning_rate,num_leaves,max_depth,bagging_fraction,feature_fraction,num_boost_round,GHI_integral,DHI_integral,DNI,Cloud_mean,Temperature_mean,Wind_speed_mean,Precipitation_intensity_mean,zenith_rad,azimuth_rad,elevation,hour_cos,hour_sin,quarter_hour_cos,quarter_hour_sin,dayofyear_cos,dayofyear_sin,power_lag1,power_lag2,power_lag3,power_lag4,Wind_cos,Wind_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
22,0.015420826,100.0,40.16556998,0.591959781,0.868367721,712.3330868,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,23.976444242325584,1877.0241687311782,0.9961404919581931,0.9849689777135769,57.00863525149701,12913.23781060792,0.9733032282943245,0.8966280903178991,62.120065300455956,14456.624781752775,0.9622733147342886,0.8588335746615844
23,0.01,94.82484131,20.73442341,0.524098072,0.612950517,612.6590633,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,31.943573874294486,3449.746817548325,0.9927902772317466,0.9723747716407204,55.82208465973495,12042.154256270334,0.9744054005158004,0.903601211375933,61.47242412660527,13726.799763183406,0.9636116894751997,0.8659601889681285
24,0.090007467,2.0,48.2659114,0.903993227,0.213985213,719.9621535,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,94.4684928655803,27090.944761545004,0.9348714970329012,0.783058417012127,97.61682694032966,26652.581861012768,0.9359132332493388,0.7866431079997506,106.41795327468385,32553.753220155097,0.9093525924344324,0.6821182646146637
25,0.074071372,12.52395268,56.19204445,0.787518401,0.924939678,611.0226113,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,35.54766628856973,4311.670448196255,0.9910055280499593,0.9654725731942181,57.853323949035236,13034.862962529489,0.9729131114120986,0.8956544674044281,61.92887751739179,14212.564405088737,0.9627202301326785,0.8612167817697813
26,0.116422347,53.56231664,10.22535924,1.0,1.0,139.4021912,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,29.888837795045692,2937.8111765520443,0.9939242685745424,0.9764743011817976,58.55054854021848,13530.317349039975,0.9719593644931995,0.8916882997518902,61.84081793518677,14284.40337627564,0.9626593413837622,0.8605152867171294
27,0.016883216,55.63369359,62.81787143,0.959388545,0.802294349,478.5104251,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,35.89733008141226,4427.94170263753,0.9907394415479577,0.9645414845881728,56.88156346828487,12803.793138159768,0.9733312097501852,0.897504207133947,61.393468366929966,13648.894058481868,0.9641940664133607,0.8667209246178542
28,0.2,35.78073128,64.0,0.1,0.759922399,100.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,37.703585431391595,5079.558325736337,0.9893744822904174,0.9593234036773539,61.335303075855165,14375.470671782992,0.9702142676426833,0.8849227530913656,65.04665653357915,15438.903318852073,0.9597095818188286,0.8492417956770472
29,0.083043957,34.91629379,64.0,0.601099442,0.679662309,100.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58.785757924810426,11476.657474285348,0.9749812381316424,0.9080960718868973,70.72914675138084,17255.767609120467,0.9634863960407211,0.861865654691188,72.62123605009064,18184.488808243612,0.9509705340620845,0.8224316311435083
30,0.2,85.50835111,55.13111131,0.869479255,0.659997494,468.1697778,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,4.525277483595029,55.58622175645101,0.9998884086138167,0.9995548710815993,62.77481244969611,14952.542723978127,0.9686589512355656,0.8803032269171804,65.0051939859578,15622.460936128187,0.9593008203301255,0.8474493874859449
31,0.01,31.97778144,62.0,0.1,0.744130299,612.0968868,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,43.73428768155103,6883.22254826187,0.9853603981445226,0.944879840521568,56.18859723876709,12075.88473684181,0.9745856442044066,0.9033311951149218,62.54844022199426,13696.167993273375,0.963741515131437,0.8662593028709427
